n_params,train_loss,test_loss,n_layers,n_neurons
31,0.026823129730343752,0.026187065649633315,1,10
61,0.009634617063523265,0.010005890108725492,1,20
91,0.00953161454550299,0.009823399164207273,1,30
121,0.009489658742508457,0.009623018746667352,1,40
151,0.009462846497849757,0.009556520304784325,1,50
181,0.009647250436161976,0.010011687670175504,1,60
226,0.009562515975259709,0.009825491899192419,1,75
271,0.009660179525444932,0.010005254448230456,1,90
301,0.009524248691638981,0.009649791626257884,1,100
361,0.009448647087863478,0.009695823266162735,1,120
421,0.009467715251490993,0.009518587776333276,1,140
481,0.009510608367777973,0.009617507558383784,1,160
481,0.009429100039153725,0.009533308104527542,2,20
541,0.009579863049395199,0.009848302881954764,1,180
601,0.009507785136204759,0.009713287343720128,1,200
751,0.009653467850756697,0.009744776013195617,1,250
901,0.009468497904082064,0.009541223458422255,1,300
1021,0.009500049872450974,0.009586461330982557,2,30
1761,0.009403004835329696,0.0095519685052258,2,40
1951,0.009411231880121652,0.009465137228557071,3,30
2701,0.009608721105056587,0.009680917691654776,2,50
3401,0.009433975401826793,0.009504670517501724,3,40
3841,0.009475736502735059,0.009499368266465328,2,60
5041,0.009432794675072518,0.009479590168711085,4,40
5251,0.00938486400766965,0.009547808080971254,3,50
5926,0.00941996950016979,0.009522265529501082,2,75
6681,0.009418318962014772,0.009464722706655559,5,40
7501,0.009381234928459551,0.009532030439232269,3,60
7801,0.009424466538561209,0.009501508787566481,4,50
8461,0.00941373562466702,0.00960172160847371,2,90
10351,0.009425077998796876,0.009452346846869925,5,50
10401,0.009435855332450845,0.009538097801745691,2,100
11161,0.009477843471341679,0.009489888012735337,4,60
11626,0.009459995548645527,0.009481869199025082,3,75
14821,0.009407541624120481,0.009477776321515695,5,60
14881,0.009436460137827979,0.009547145172531593,2,120
16651,0.009363413542041989,0.009511885891058459,3,90
17326,0.00943798713564254,0.009466167793413036,4,75
20161,0.009403483898589953,0.009602944654952037,2,140
20501,0.00942715557294512,0.009501120854610117,3,100
23026,0.009390786047075416,0.009445678285599052,5,75
24841,0.00944929667129294,0.00948479761178545,4,90
26241,0.009559460588501887,0.009662128132754428,2,160
29401,0.009423950703869609,0.009544447227616602,3,120
30601,0.009426552848847957,0.009489361687638132,4,100
33031,0.009402734923157366,0.009435868356085717,5,90
33121,0.009399946052192147,0.009537328366264678,2,180
39901,0.009427314395998565,0.009481493634445443,3,140
40701,0.009421067766046407,0.009405362353090765,5,100
40801,0.009377839913744168,0.009519001713737839,2,200
43921,0.00940500570024204,0.009468851866875634,4,120
52001,0.009483627253115703,0.009499172878480042,3,160
58441,0.00942979940904574,0.009501457196470851,5,120
59641,0.009411069436975983,0.009498941821784292,4,140
63501,0.009396569884044059,0.009566194681037641,2,250
65701,0.00948090656938273,0.00949280756215504,3,180
77761,0.009388674332731748,0.009516525079728826,4,160
81001,0.009406743479938752,0.009516219088898938,3,200
