activation,hidden_layers,width,seed,L2_rel,Linf
ReLU,2,32,4,0.2995232343673706,0.1882992684841156
ReLU,2,32,2,0.2258778065443039,0.13451611995697021
ReLU,2,32,16,0.18648307025432587,0.12979456782341003
ReLU,2,32,8,0.2051798403263092,0.13121801614761353
ReLU,2,32,29,0.19888311624526978,0.10926806926727295
ReLU,2,32,3,0.23918217420578003,0.1253109872341156
ReLU,2,32,21,0.26660582423210144,0.16942915320396423
ReLU,2,32,9,0.2610893249511719,0.16618770360946655
ReLU,2,32,0,0.27819132804870605,0.17809653282165527
ReLU,2,32,42,0.33284831047058105,0.1997106969356537
ReLU,2,64,4,0.2223677933216095,0.13408860564231873
ReLU,2,64,2,0.2697548270225525,0.1414424180984497
ReLU,2,64,16,0.26705706119537354,0.11774826049804688
ReLU,2,64,8,0.24169088900089264,0.1296798586845398
ReLU,2,64,29,0.29486122727394104,0.1770249754190445
ReLU,2,64,3,0.3265101909637451,0.1850135624408722
ReLU,2,64,21,0.2522355616092682,0.14700950682163239
ReLU,2,64,9,0.2516533136367798,0.11740276217460632
ReLU,2,64,0,0.2860909402370453,0.18074160814285278
ReLU,2,64,42,0.27072620391845703,0.157626211643219
ReLU,2,128,4,0.2706358730792999,0.11783966422080994
ReLU,2,128,2,0.3302108943462372,0.17458155751228333
ReLU,2,128,16,0.22396500408649445,0.10881514847278595
ReLU,2,128,8,0.3672056794166565,0.19751720130443573
ReLU,2,128,29,0.21440160274505615,0.09885352849960327
ReLU,2,128,3,0.28560590744018555,0.14448362588882446
ReLU,2,128,21,0.304099440574646,0.160610631108284
ReLU,2,128,9,0.32379481196403503,0.16287855803966522
ReLU,2,128,0,0.27201277017593384,0.13382411003112793
ReLU,2,128,42,0.26459944248199463,0.12680964171886444
ReLU,3,32,4,0.19299964606761932,0.12058910727500916
ReLU,3,32,2,0.29713883996009827,0.18583926558494568
ReLU,3,32,16,0.30997857451438904,0.1911602020263672
ReLU,3,32,8,0.2886331081390381,0.18253299593925476
ReLU,3,32,29,0.2688943147659302,0.1712929606437683
ReLU,3,32,3,0.31913793087005615,0.17653435468673706
ReLU,3,32,21,0.20774726569652557,0.13864395022392273
ReLU,3,32,9,0.2938246726989746,0.18229025602340698
ReLU,3,32,0,0.3012201189994812,0.1895991563796997
ReLU,3,32,42,0.31073081493377686,0.19413837790489197
ReLU,3,64,4,0.23859263956546783,0.13518598675727844
ReLU,3,64,2,0.22120317816734314,0.11095073819160461
ReLU,3,64,16,0.3270604908466339,0.15263806283473969
ReLU,3,64,8,0.20716147124767303,0.14135071635246277
ReLU,3,64,29,0.15809468924999237,0.10149151086807251
ReLU,3,64,3,0.28362661600112915,0.14328131079673767
ReLU,3,64,21,0.17361938953399658,0.08435070514678955
ReLU,3,64,9,0.312873899936676,0.16891378164291382
ReLU,3,64,0,0.1678626388311386,0.10859861969947815
ReLU,3,64,42,0.28831157088279724,0.17371687293052673
ReLU,3,128,4,0.27027231454849243,0.1175677627325058
ReLU,3,128,2,0.27674829959869385,0.14232613146305084
ReLU,3,128,16,0.25266149640083313,0.1140076220035553
ReLU,3,128,8,0.22111742198467255,0.11749054491519928
ReLU,3,128,29,0.33242589235305786,0.17031246423721313
ReLU,3,128,3,0.3003701865673065,0.13159355521202087
ReLU,3,128,21,0.266704797744751,0.12051521986722946
ReLU,3,128,9,0.21438294649124146,0.12878477573394775
ReLU,3,128,0,0.2738390862941742,0.12240172922611237
ReLU,3,128,42,0.27923017740249634,0.12627460062503815
ReLU,4,32,4,0.3089357614517212,0.19206899404525757
ReLU,4,32,2,0.2929557263851166,0.18312987685203552
ReLU,4,32,16,0.2890331745147705,0.18379685282707214
ReLU,4,32,8,0.30979225039482117,0.19334012269973755
ReLU,4,32,29,0.17407742142677307,0.11975610256195068
ReLU,4,32,3,0.3676011860370636,0.2281612753868103
ReLU,4,32,21,0.30884304642677307,0.19146710634231567
ReLU,4,32,9,0.29459843039512634,0.1740647852420807
ReLU,4,32,0,0.2907603681087494,0.1836213767528534
ReLU,4,32,42,0.17709465324878693,0.12389373779296875
ReLU,4,64,4,0.24661555886268616,0.13404497504234314
ReLU,4,64,2,0.2250443994998932,0.1347481608390808
ReLU,4,64,16,0.2607494294643402,0.13876168429851532
ReLU,4,64,8,0.2807094156742096,0.13744454085826874
ReLU,4,64,29,0.17401549220085144,0.10642534494400024
ReLU,4,64,3,0.23612499237060547,0.1234186589717865
ReLU,4,64,21,0.2675137221813202,0.14858661592006683
ReLU,4,64,9,0.2909430265426636,0.1726544201374054
ReLU,4,64,0,0.2445482760667801,0.1187010109424591
ReLU,4,64,42,0.21223856508731842,0.09835521131753922
ReLU,4,128,4,0.2973344922065735,0.1267397105693817
ReLU,4,128,2,0.2830885052680969,0.12542180716991425
ReLU,4,128,16,0.30569854378700256,0.14178115129470825
ReLU,4,128,8,0.25407060980796814,0.11385631561279297
ReLU,4,128,29,0.2917993366718292,0.1685219258069992
ReLU,4,128,3,0.2972269356250763,0.13007134199142456
ReLU,4,128,21,0.27746447920799255,0.13356167078018188
ReLU,4,128,9,0.266447514295578,0.12684273719787598
ReLU,4,128,0,0.31567955017089844,0.15973062813282013
ReLU,4,128,42,0.3174305856227875,0.14983360469341278
